region,division,year,total,white,black,black_free,black_slaves
USA Total,NA,1830,12860702,10532060,2328642,619599,1709043
Northeast,NA,1830,5542381,5417167,125214,122434,2780
Midwest,NA,1830,1610473,1568930,41543,15664,25879
South,NA,1830,5707848,3545963,2161885,181501,1980384
Northeast,New England,1830,1954717,1933338,21379,21331,48
Northeast,Middle Atlantic,1830,3587664,3483829,103835,101103,2732
Midwest,East North Central,1830,1470018,1454135,15883,15095,788
Midwest,West North Central,1830,140455,114795,25660,569,25091
South,South Atlantic,1830,3645752,2116469,1529283,153087,1376196
South,East South Central,1830,1815969,1314382,501587,11563,490024
South,West South Central,1830,246127,115112,131015,16851,114164
